item,crop_id,days_seen,first_seen,last_seen,median_mode_price,peak_month,trough_month,median_qty_t,notes
بطاطا,ignore,2914,8/1/2015,8/6/2026,35,Oct,Feb,355.49,
بندورة,,2909,8/1/2015,8/6/2026,15,Sep,Feb,291.3,
اسود عجمي,,2908,8/1/2015,8/6/2026,20,Apr,Jan,93.47,
حلوه/اخضر,,2907,8/1/2015,8/6/2026,40,Apr,Jan,64.3,
بندوره معلقه,,2905,8/1/2015,8/6/2026,25,Oct,Feb,62.22,
خيار,,2904,8/1/2015,8/6/2026,30,Feb,May,222.64,
فلفل حار,hot_pepper,2904,8/1/2015,8/6/2026,40,Oct,Jul,40.03,
كوسا,,2904,8/1/2015,8/6/2026,40,Sep,Jun,90.31,
ملفوف,,2904,8/1/2015,8/6/2026,10,Aug,Jan,72.57,
اسود رفيع,,2903,8/1/2015,8/6/2026,50,Mar,Aug,27.92,
اسود كلاسيك,,2903,8/1/2015,8/6/2026,40,Oct,Jan,14.52,
بروكلي,broccoli,2903,8/1/2015,8/6/2026,80,Aug,Feb,3.11,
بقدونس,,2903,8/1/2015,8/6/2026,6,Oct,Feb,13.92,
جرجير,,2903,8/1/2015,8/6/2026,5,Jul,Sep,5.21,
زهرة,cauliflower,2903,8/1/2015,8/6/2026,30,Aug,Feb,105.68,
كزبرة,,2903,8/1/2015,8/6/2026,5,Jul,Dec,2.52,
نعنع,,2903,8/1/2015,8/6/2026,5,Jan,Oct,5.53,
بصل اخضر,,2902,8/1/2015,8/6/2026,70,Oct,Apr,8.66,
خس صيني,,2900,8/1/2015,8/6/2026,20,Aug,Sep,14.68,
زعتر,,2900,8/1/2015,8/6/2026,100,Jan,Jun,3.13,
فاصوليا,,2900,8/1/2015,8/6/2026,100,Sep,Nov,16.48,
فجل مع الورق,,2900,8/1/2015,8/6/2026,15,Aug,Dec,15.27,
حلوه/حمراء,,2899,8/1/2015,8/6/2026,80,Nov,Aug,13.84,
خس,,2899,8/1/2015,8/6/2026,20,Aug,Dec,16.66,
بندوره كرز,,2898,8/1/2015,8/6/2026,150,Nov,Aug,6,
ملفوف أحمر,,2897,8/1/2015,8/6/2026,40,Oct,Jan,3.44,
