date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,et0_fao_evapotranspiration,shortwave_radiation_sum,wind_speed_10m_max,relative_humidity_2m_mean,source
1995-01-01,12.6,4.1,7.8,0.0,0.0,1.24,8.99,9.2,82,era5_archive
1995-01-02,14.5,2.6,7.8,0.0,0.0,1.75,12.82,8.0,79,era5_archive
1995-01-03,15.2,3.2,8.2,0.0,0.0,2.12,13.08,17.5,68,era5_archive
1995-01-04,15.8,5.8,9.7,0.0,0.0,2.02,12.78,17.4,72,era5_archive
1995-01-05,13.7,4.3,8.4,0.0,0.0,1.61,11.98,10.5,83,era5_archive
1995-01-06,14.8,2.6,8.1,0.0,0.0,1.66,11.35,14.3,81,era5_archive
1995-01-07,14.9,7.0,10.0,0.0,0.0,1.75,11.65,15.6,81,era5_archive
1995-01-08,13.4,5.7,8.7,0.0,0.0,1.54,11.38,9.4,86,era5_archive
1995-01-09,14.5,2.4,8.0,0.0,0.0,1.81,12.9,20.1,79,era5_archive
1995-01-10,13.0,6.0,8.9,0.0,0.0,1.32,9.93,11.3,83,era5_archive
1995-01-11,12.9,3.4,7.8,0.0,0.0,1.7,12.3,20.2,78,era5_archive
1995-01-12,11.4,2.5,6.5,0.0,0.0,1.77,13.71,12.3,69,era5_archive
1995-01-13,13.0,1.3,6.5,0.0,0.0,1.83,13.87,9.4,71,era5_archive
1995-01-14,13.7,2.7,7.8,0.0,0.0,2.08,12.24,24.8,68,era5_archive
1995-01-15,15.3,5.4,10.4,0.0,0.0,1.83,12.05,22.5,80,era5_archive
1995-01-16,8.5,2.8,5.6,0.2,0.2,1.84,13.36,30.4,69,era5_archive
1995-01-17,9.0,4.4,6.2,0.1,0.1,1.47,9.29,22.9,71,era5_archive
1995-01-18,9.4,4.5,6.4,1.9,1.9,1.2,9.94,21.7,86,era5_archive
1995-01-19,9.2,3.8,6.2,0.0,0.0,1.09,8.09,17.8,86,era5_archive
1995-01-20,9.0,1.9,5.5,0.0,0.0,1.32,10.29,11.2,78,era5_archive
1995-01-21,9.6,1.6,5.3,0.1,0.1,1.33,10.0,9.2,78,era5_archive
1995-01-22,11.5,1.5,6.4,0.0,0.0,1.5,11.26,5.4,77,era5_archive
1995-01-23,12.7,1.0,6.6,0.0,0.0,1.85,12.63,15.1,71,era5_archive
1995-01-24,13.8,0.9,6.4,0.0,0.0,2.14,14.95,11.3,65,era5_archive
1995-01-25,11.4,0.7,6.0,0.0,0.0,1.53,10.81,16.3,76,era5_archive
1995-01-26,12.9,5.0,8.4,0.0,0.0,1.43,9.66,9.9,83,era5_archive
1995-01-27,14.9,1.7,8.4,0.0,0.0,2.09,14.68,9.4,75,era5_archive
1995-01-28,15.3,2.7,8.2,0.0,0.0,2.28,15.32,16.3,71,era5_archive
1995-01-29,11.6,5.3,8.0,0.7,0.7,0.97,6.77,13.0,90,era5_archive
1995-01-30,13.9,3.3,8.4,0.0,0.0,1.61,10.71,9.7,84,era5_archive
1995-01-31,12.7,4.1,7.6,0.0,0.0,1.65,12.25,12.7,83,era5_archive
1995-02-01,15.8,2.4,8.6,0.0,0.0,1.9,11.61,9.7,75,era5_archive
